N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,1,2,0.125,1,0,0.0833333,12,1.11967,0.077376,0.000677,1.7e-05,0.07807,Sat Jul 20 08:49:24 2019
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.006487,0.069852,6.8e-05,0.076407,Sat Jul 20 21:56:08 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.032176,3.70481,0.000469,3.73745,Sat Jul 20 21:57:15 2019
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.082798,0.065763,3.6e-05,0.148597,Sat Jul 20 22:12:44 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.100192,3.72664,0.000346,3.82718,Sat Jul 20 22:13:04 2019
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.086628,0.068832,9.7e-05,0.155557,Sat Jul 20 22:14:23 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.100078,3.70989,0.000336,3.8103,Sat Jul 20 22:14:33 2019
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.082655,0.067102,7.2e-05,0.149829,Sat Jul 20 22:20:14 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.100453,3.8211,0.000355,3.92191,Sat Jul 20 22:20:24 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.030256,3.72941,0.000412,3.76008,Sat Jul 20 22:21:16 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.029475,3.73533,0.000387,3.76519,Sat Jul 20 22:21:22 2019
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.079349,0.064759,4.7e-05,0.144155,Sat Jul 20 22:23:38 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.097628,3.58528,0.000394,3.6833,Sat Jul 20 22:23:45 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,nan,0.10072,3.69901,0.000316,3.80005,Sat Jul 20 22:46:22 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,nan,0.10089,3.73456,0.000303,3.83575,Sat Jul 20 22:49:28 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.099267,3.71697,0.000319,3.81656,Sat Jul 20 22:49:40 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.101217,3.68572,0.000298,3.78723,Sat Jul 20 22:59:07 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.100678,3.62967,0.000334,3.73068,Sat Jul 20 23:12:28 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.029382,3.62982,0.00032,3.65952,Sat Jul 20 23:12:37 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.030063,3.66316,0.000347,3.69357,Sat Jul 20 23:25:15 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.030596,3.6361,0.000462,3.66716,Sat Jul 20 23:25:41 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.029341,3.65354,0.000278,3.68316,Sat Jul 20 23:26:00 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.030349,3.64452,0.000318,3.67519,Sat Jul 20 23:43:09 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.030316,3.65066,0.000337,3.68131,Sat Jul 20 23:43:15 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.098572,3.65052,0.00033,3.74942,Sat Jul 20 23:45:35 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.029605,3.66868,0.000337,3.69862,Sat Jul 20 23:46:29 2019
