N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,4,64,0.125,0.5,0.1,0.0208333,24,1.96174,0.349693,0.004634,0.004977,0.359304,Thu Jul 25 00:48:33 2019
1,8,256,0.125,0.5,0.1,0.0104167,48,1.12106,0.126856,0.010075,0.012128,0.149059,Thu Jul 25 00:48:34 2019
1,16,1024,0.125,0.5,0.1,0.00520833,96,0.428521,0.124318,0.038317,0.049717,0.212352,Thu Jul 25 00:48:35 2019
1,32,4096,0.125,0.5,0.1,0.00260417,192,0.200196,0.323702,0.378015,0.154786,0.856503,Thu Jul 25 00:48:38 2019
1,64,16384,0.125,0.5,0.1,0.00130208,384,0.106484,2.6625,3.34202,0.549392,6.55391,Thu Jul 25 00:48:54 2019
1,128,65536,0.125,0.5,0.1,0.000651042,768,0.0544488,37.7048,28.3109,2.1014,68.117,Thu Jul 25 00:51:33 2019
2,4,64,0.125,0.5,0.1,0.0104167,48,1.07314,0.345341,0.0104,0.006489,0.36223,Thu Jul 25 00:54:57 2019
2,8,256,0.125,0.5,0.1,0.00520833,96,0.40352,0.122544,0.023047,0.032913,0.178504,Thu Jul 25 00:54:58 2019
2,16,1024,0.125,0.5,0.1,0.00260417,192,0.0875672,0.13871,0.175222,0.067083,0.381015,Thu Jul 25 00:55:00 2019
2,32,4096,0.125,0.5,0.1,0.00130208,384,0.0147423,0.373177,1.41528,0.228747,2.0172,Thu Jul 25 00:55:05 2019
2,64,16384,0.125,0.5,0.1,0.000651042,768,0.00192598,2.92401,11.4459,0.859752,15.2296,Thu Jul 25 00:55:44 2019
2,128,65536,0.125,0.5,0.1,0.000325521,1536,0.000250229,38.744,93.3332,3.40382,135.481,Thu Jul 25 01:01:14 2019
3,4,64,0.125,0.5,0.1,0.00625,80,0.622115,0.361787,0.01549,0.023241,0.400518,Thu Jul 25 01:09:08 2019
3,8,256,0.125,0.5,0.1,0.003125,160,0.136661,0.127179,0.081606,0.037364,0.246149,Thu Jul 25 01:09:09 2019
3,16,1024,0.125,0.5,0.1,0.0015625,320,0.0205381,0.166696,0.499765,0.100433,0.766894,Thu Jul 25 01:09:12 2019
3,32,4096,0.125,0.5,0.1,0.00078125,640,0.00224525,0.48395,3.79425,0.356484,4.63468,Thu Jul 25 01:09:24 2019
3,64,16384,0.125,0.5,0.1,0.000390625,1280,0.000215664,3.34048,30.0215,1.31609,34.678,Thu Jul 25 01:10:52 2019
3,128,65536,0.125,0.5,0.1,0.000195313,2560,2.10E-05,40.1656,242.566,5.24229,287.974,Thu Jul 25 01:22:51 2019
4,4,64,0.125,0.5,0.1,0.00416667,120,0.385181,0.373826,0.038451,0.03193,0.444207,Thu Jul 25 01:41:05 2019
4,8,256,0.125,0.5,0.1,0.00208333,240,0.0686335,0.132304,0.189994,0.055274,0.377572,Thu Jul 25 01:41:06 2019
4,16,1024,0.125,0.5,0.1,0.00104167,480,0.00735177,0.22338,1.16995,0.140757,1.53408,Thu Jul 25 01:41:11 2019
4,32,4096,0.125,0.5,0.1,0.000520833,960,0.000523745,0.712731,8.81711,0.54246,10.0723,Thu Jul 25 01:41:37 2019
4,64,16384,0.125,0.5,0.1,0.000260417,1920,1.78E-05,4.32329,70.1947,2.02778,76.5458,Thu Jul 25 01:44:52 2019
4,128,65536,0.125,0.5,0.1,0.000130208,3840,5.47E-07,43.9929,563.294,7.95055,615.238,Thu Jul 25 02:10:43 2019
5,4,64,0.125,0.5,0.1,0.00297619,168,0.234848,0.201417,0.111376,0.050387,0.36318,Thu Jul 25 02:43:57 2019
5,8,256,0.125,0.5,0.1,0.0014881,336,0.0280035,0.118829,0.509367,0.086465,0.714661,Thu Jul 25 02:43:58 2019
5,16,1024,0.125,0.5,0.1,0.000744048,672,0.00274037,0.309011,3.38421,0.290419,3.98364,Thu Jul 25 02:44:04 2019
5,32,4096,0.125,0.5,0.1,0.000372024,1344,8.14E-05,1.21574,26.7639,1.07399,29.0536,Thu Jul 25 02:44:41 2019
5,64,16384,0.125,0.5,0.1,0.000186012,2688,1.83E-06,6.3946,214.454,4.22445,225.073,Thu Jul 25 02:49:23 2019
5,128,65536,0.125,0.5,0.1,9.30E-05,5376,3.67E-08,52.5148,1721.35,16.8134,1790.68,Thu Jul 25 03:26:41 2019
