N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,8,128,0.125,0.5,0.1,0.003125,160,0.0894156,0.110088,0.060592,0.031972,0.202652,Wed Jul 24 01:55:13 2019
3,16,512,0.125,0.5,0.1,0.0015625,320,0.0093571,0.117739,0.325418,0.069297,0.512454,Wed Jul 24 01:55:14 2019
3,24,1152,0.125,0.5,0.1,0.00104167,480,0.00265577,0.161326,1.04569,0.12315,1.33017,Wed Jul 24 01:55:17 2019
3,32,2048,0.125,0.5,0.1,0.00078125,640,0.000811114,0.234007,2.34921,0.215121,2.79834,Wed Jul 24 01:55:22 2019
3,40,3200,0.125,0.5,0.1,0.000625,800,0.000317892,0.351545,4.46972,0.321294,5.14256,Wed Jul 24 01:55:33 2019
3,48,4608,0.125,0.5,0.1,0.000520833,960,0.000145462,0.556625,7.73652,0.44771,8.74085,Wed Jul 24 01:55:50 2019
3,56,6272,0.125,0.5,0.1,0.000446429,1120,7.52848e-05,0.766464,12.081,0.59375,13.4412,Wed Jul 24 01:56:17 2019
3,64,8192,0.125,0.5,0.1,0.000390625,1280,4.25532e-05,1.11928,17.1651,0.78045,19.0648,Wed Jul 24 01:56:56 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0210499,0.129614,0.299298,0.059497,0.488409,Wed Jul 24 01:56:57 2019
5,16,512,0.125,0.5,0.1,0.000744048,672,0.00104473,0.203468,2.04162,0.174925,2.42001,Wed Jul 24 01:57:02 2019
5,24,1152,0.125,0.5,0.1,0.000496032,1008,0.000132566,0.380003,6.41773,0.345696,7.14343,Wed Jul 24 01:57:16 2019
5,32,2048,0.125,0.5,0.1,0.000372024,1344,2.5859e-05,0.5982,14.7275,0.594025,15.9197,Wed Jul 24 01:57:48 2019
5,40,3200,0.125,0.5,0.1,0.000297619,1680,7.34214e-06,0.930569,28.3938,0.905757,30.2302,Wed Jul 24 01:58:49 2019
5,48,4608,0.125,0.5,0.1,0.000248016,2016,2.49121e-06,1.35315,48.8423,0.619259,50.8147,Wed Jul 24 02:00:31 2019
5,56,6272,0.125,0.5,0.1,0.000212585,2352,9.72505e-07,1.92335,77.0463,1.74976,80.7194,Wed Jul 24 02:03:14 2019
5,64,8192,0.125,0.5,0.1,0.000186012,2688,4.28141e-07,2.65815,115.078,2.32403,120.061,Wed Jul 24 02:07:14 2019
7,8,128,0.125,0.5,0.1,0.000868056,576,0.00497584,0.184871,1.03019,0.101162,1.31623,Wed Jul 24 02:07:17 2019
7,16,512,0.125,0.5,0.1,0.000434028,1152,9.57944e-05,0.514248,6.55044,0.309226,7.37391,Wed Jul 24 02:07:32 2019
7,24,1152,0.125,0.5,0.1,0.000289352,1728,6.65207e-06,1.00524,20.7578,0.669033,22.4321,Wed Jul 24 02:08:18 2019
7,32,2048,0.125,0.5,0.1,0.000217014,2304,7.65454e-07,1.75566,48.6495,1.12854,51.5337,Wed Jul 24 02:10:02 2019
7,40,3200,0.125,0.5,0.1,0.000173611,2880,1.41228e-07,2.76589,96.172,1.77254,100.71,Wed Jul 24 02:13:25 2019
7,48,4608,0.125,0.5,0.1,0.000144676,3456,3.64842e-08,4.03049,164.236,2.51732,170.784,Wed Jul 24 02:19:10 2019
7,56,6272,0.125,0.5,0.1,0.000124008,4032,1.24197e-08,5.39415,259.627,3.40587,268.427,Wed Jul 24 02:28:11 2019
7,64,8192,0.125,0.5,0.1,0.000108507,4608,6.77799e-09,7.18567,389.875,4.46005,401.521,Wed Jul 24 02:41:40 2019
9,8,128,0.125,0.5,0.1,0.000568182,880,0.00126609,0.395401,2.74444,0.173265,3.31311,Wed Jul 24 02:41:46 2019
9,16,512,0.125,0.5,0.1,0.000284091,1760,1.25946e-05,1.28244,21.1745,0.644713,23.1016,Wed Jul 24 02:42:33 2019
9,24,1152,0.125,0.5,0.1,0.000189394,2640,4.28649e-07,2.80825,68.5672,1.3833,72.7588,Wed Jul 24 02:44:59 2019
9,32,2048,0.125,0.5,0.1,0.000142045,3520,2.98995e-08,4.98311,158.654,2.38975,166.026,Wed Jul 24 02:50:32 2019
9,40,3200,0.125,0.5,0.1,0.000113636,4400,6.51477e-09,7.76647,284.548,3.33028,295.645,Wed Jul 24 02:56:38 2019
9,48,4608,0.125,0.5,0.1,9.4697e-05,5280,5.64996e-09,11.1538,478.902,4.77841,494.834,Wed Jul 24 03:04:54 2019
9,56,6272,0.125,0.5,0.1,8.11688e-05,6160,5.62091e-09,15.0359,759.466,6.46119,780.963,Wed Jul 24 03:17:56 2019
9,64,8192,0.125,0.5,0.1,7.10227e-05,7040,5.61919e-09,19.9138,1130.03,8.42041,1158.36,Wed Jul 24 03:37:17 2019
