N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,4,32,0.125,0.5,0.1,0.00625,80,0.347297,0.315643,0.017348,0.025328,0.358319,Sat Jul 20 05:04:31 2019
3,8,128,0.125,0.5,0.1,0.003125,160,0.0446798,0.056625,0.064615,0.030244,0.151484,Sat Jul 20 05:04:32 2019
3,12,288,0.125,0.5,0.1,0.00208333,240,0.0129461,0.066839,0.157217,0.043799,0.267855,Sat Jul 20 05:04:32 2019
3,16,512,0.125,0.5,0.1,0.0015625,320,0.00741466,0.082149,0.275627,0.054133,0.411909,Sat Jul 20 05:04:34 2019
3,20,800,0.125,0.5,0.1,0.00125,400,0.00692082,0.103881,0.495439,0.074749,0.674069,Sat Jul 20 05:04:36 2019
3,24,1152,0.125,0.5,0.1,0.00104167,480,0.00726658,0.137856,0.861109,0.106419,1.10538,Sat Jul 20 05:04:40 2019
3,28,1568,0.125,0.5,0.1,0.000892857,560,0.00773237,0.163936,1.3476,0.142283,1.65382,Sat Jul 20 05:04:45 2019
3,32,2048,0.125,0.5,0.1,0.00078125,640,0.00821062,0.225358,2.14001,0.177363,2.54273,Sat Jul 20 05:32:33 2019
5,4,32,0.125,0.5,0.1,0.00297619,168,0.0917579,0.31729,0.072936,0.033267,0.423493,Sat Jul 20 05:04:53 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.079388,0.26205,0.048106,0.389544,Sat Jul 20 05:04:54 2019
5,12,288,0.125,0.5,0.1,0.000992063,504,0.00780297,0.125827,0.838446,0.097066,1.06134,Sat Jul 20 05:04:57 2019
5,16,512,0.125,0.5,0.1,0.000744048,672,0.00875642,0.179428,1.83949,0.154686,2.1736,Sat Jul 20 05:05:03 2019
5,20,800,0.125,0.5,0.1,0.000595238,840,0.00960485,0.246273,3.46089,0.228955,3.93612,Sat Jul 20 05:05:14 2019
5,24,1152,0.125,0.5,0.1,0.000496032,1008,0.0103488,0.345386,5.87328,0.318772,6.53744,Sat Jul 20 05:05:34 2019
5,28,1568,0.125,0.5,0.1,0.00042517,1176,0.0110089,0.453261,9.20573,0.426116,10.0851,Sat Jul 20 05:06:07 2019
5,32,2048,0.125,0.5,0.1,0.000372024,1344,0.0115794,0.603545,13.6145,0.548372,14.7664,Sat Jul 20 05:32:56 2019
7,4,32,0.125,0.5,0.1,0.00173611,288,0.0247765,0.390133,0.317378,0.0694,0.776911,Sat Jul 20 05:06:45 2019
7,8,128,0.125,0.5,0.1,0.000868056,576,0.00842508,0.155974,0.929098,0.09238,1.17745,Sat Jul 20 05:06:48 2019
7,12,288,0.125,0.5,0.1,0.000578704,864,0.00999315,0.294399,2.80616,0.18072,3.28128,Sat Jul 20 05:06:55 2019
7,16,512,0.125,0.5,0.1,0.000434028,1152,0.0111528,0.485877,6.33271,0.301512,7.1201,Sat Jul 20 05:07:14 2019
7,20,800,0.125,0.5,0.1,0.000347222,1440,0.0120147,0.72122,12.1324,0.454952,13.3086,Sat Jul 20 05:07:51 2019
7,24,1152,0.125,0.5,0.1,0.000289352,1728,0.0126411,1.00359,20.4638,0.634263,22.1017,Sat Jul 20 05:09:00 2019
7,28,1568,0.125,0.5,0.1,0.000248016,2016,0.0130896,1.3356,32.4296,0.860671,34.6259,Sat Jul 20 05:10:51 2019
7,32,2048,0.125,0.5,0.1,0.000217014,2304,0.0133618,1.77148,48.1507,1.11336,51.0355,Sat Jul 20 05:34:38 2019
9,4,32,0.125,0.5,0.1,0.00113636,440,0.0109589,0.508436,0.77655,0.084085,1.36907,Sat Jul 20 05:12:55 2019
9,8,128,0.125,0.5,0.1,0.000568182,880,0.0101952,0.400141,2.7686,0.174638,3.34338,Sat Jul 20 05:13:01 2019
9,12,288,0.125,0.5,0.1,0.000378788,1320,0.0118521,0.761192,9.01283,0.361062,10.1351,Sat Jul 20 05:13:23 2019
9,16,512,0.125,0.5,0.1,0.000284091,1760,0.0128163,1.30808,20.6053,0.628313,22.5417,Sat Jul 20 05:14:20 2019
9,20,800,0.125,0.5,0.1,0.000227273,2200,0.0132926,1.98338,39.1727,0.946157,42.1023,Sat Jul 20 05:16:20 2019
9,24,1152,0.125,0.5,0.1,0.000189394,2640,0.0134361,2.85155,66.8802,1.33171,71.0634,Sat Jul 20 05:19:57 2019
9,28,1568,0.125,0.5,0.1,0.000162338,3080,0.0133166,3.88944,105.961,1.81368,111.664,Sat Jul 20 05:25:55 2019
9,32,2048,0.125,0.5,0.1,0.000142045,3520,0.0130183,5.02217,157.03,2.32947,164.381,Sat Jul 20 05:40:20 2019
3,4,32,0.125,0.75,0.1,0.00625,120,0.405005,0.057814,0.036279,0.027644,0.121737,Sat Jul 20 05:04:31 2019
3,8,128,0.125,0.75,0.1,0.003125,240,0.0515174,0.054546,0.111914,0.031522,0.197982,Sat Jul 20 05:04:32 2019
3,12,288,0.125,0.75,0.1,0.00208333,360,0.0156507,0.068389,0.231252,0.034315,0.333956,Sat Jul 20 05:04:33 2019
3,16,512,0.125,0.75,0.1,0.0015625,480,0.010098,0.080334,0.439938,0.054726,0.574998,Sat Jul 20 05:04:34 2019
3,20,800,0.125,0.75,0.1,0.00125,600,0.00993965,0.100303,0.778938,0.074895,0.954136,Sat Jul 20 05:04:37 2019
3,24,1152,0.125,0.75,0.1,0.00104167,720,0.010536,0.13643,1.342,0.108051,1.58648,Sat Jul 20 05:04:41 2019
3,28,1568,0.125,0.75,0.1,0.000892857,840,0.0112293,0.172282,2.09345,0.145558,2.41129,Sat Jul 20 05:04:48 2019
3,32,2048,0.125,0.75,0.1,0.00078125,960,0.0119053,0.208847,3.05539,0.178924,3.44316,Sat Jul 20 05:32:37 2019
5,4,32,0.125,0.75,0.1,0.00297619,252,0.109285,0.055746,0.12699,0.033537,0.216273,Sat Jul 20 05:04:54 2019
5,8,128,0.125,0.75,0.1,0.0014881,504,0.0130843,0.088654,0.417374,0.048225,0.554253,Sat Jul 20 05:04:55 2019
5,12,288,0.125,0.75,0.1,0.000992063,756,0.0112927,0.12217,1.30882,0.096892,1.52788,Sat Jul 20 05:04:58 2019
5,16,512,0.125,0.75,0.1,0.000744048,1008,0.0126068,0.181812,2.83507,0.154386,3.17127,Sat Jul 20 05:05:06 2019
5,20,800,0.125,0.75,0.1,0.000595238,1260,0.0136944,0.254147,5.30367,0.228884,5.7867,Sat Jul 20 05:05:20 2019
5,24,1152,0.125,0.75,0.1,0.000496032,1512,0.0145592,0.342141,8.9458,0.319207,9.60715,Sat Jul 20 05:05:44 2019
5,28,1568,0.125,0.75,0.1,0.00042517,1764,0.0152657,0.452925,14.019,0.425293,14.8972,Sat Jul 20 05:06:22 2019
5,32,2048,0.125,0.75,0.1,0.000372024,2016,0.0157856,0.595844,20.707,0.548025,21.8509,Sat Jul 20 05:33:18 2019
7,4,32,0.125,0.75,0.1,0.00173611,432,0.0307813,0.081974,0.436118,0.054443,0.572535,Sat Jul 20 05:06:46 2019
7,8,128,0.125,0.75,0.1,0.000868056,864,0.0120841,0.152653,1.43967,0.092457,1.68478,Sat Jul 20 05:06:49 2019
7,12,288,0.125,0.75,0.1,0.000578704,1296,0.0141385,0.292616,4.29914,0.180991,4.77275,Sat Jul 20 05:07:00 2019
7,16,512,0.125,0.75,0.1,0.000434028,1728,0.0153564,0.487313,9.68894,0.301799,10.4781,Sat Jul 20 05:07:24 2019
7,20,800,0.125,0.75,0.1,0.000347222,2160,0.0160453,0.69604,18.4212,0.455275,19.5725,Sat Jul 20 05:08:11 2019
