N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,8,128,0.125,0.5,0,0.003125,160,0.0326279,0.063404,0.041142,0.020129,0.124675,Mon Jul 22 22:07:48 2019
3,12,288,0.125,0.5,0,0.00208333,240,0.00635947,0.054201,0.109538,0.03071,0.194449,Mon Jul 22 22:07:48 2019
3,16,512,0.125,0.5,0,0.0015625,320,0.00203804,0.060472,0.186418,0.033313,0.280203,Mon Jul 22 22:07:49 2019
3,20,800,0.125,0.5,0,0.00125,400,0.000834012,0.070124,0.269074,0.023523,0.362721,Mon Jul 22 22:07:51 2019
3,24,1152,0.125,0.5,0,0.00104167,480,0.000391337,0.081307,0.236552,0.032402,0.350261,Mon Jul 22 22:07:53 2019
3,28,1568,0.125,0.5,0,0.000892857,560,0.000210731,0.097322,0.467518,0.069176,0.634016,Mon Jul 22 22:07:57 2019
3,32,2048,0.125,0.5,0,0.00078125,640,0.000125474,0.143028,0.934075,0.108138,1.18524,Mon Jul 22 22:08:05 2019
3,36,2592,0.125,0.5,0,0.000693481,721,7.96E-05,0.176474,1.39973,0.130779,1.70698,Mon Jul 22 22:08:16 2019
3,40,3200,0.125,0.5,0,0.000625,800,5.24E-05,0.191753,2.13591,0.157432,2.4851,Mon Jul 22 22:08:33 2019
3,44,3872,0.125,0.5,0,0.000568182,880,3.68E-05,0.264591,2.71011,0.095837,3.07054,Mon Jul 22 22:08:57 2019
3,48,4608,0.125,0.5,0,0.000520833,960,2.73E-05,0.328817,3.76138,0.225123,4.31532,Mon Jul 22 22:09:26 2019
3,52,5408,0.125,0.5,0,0.000480769,1040,2.12E-05,0.408364,4.67123,0.252013,5.3316,Mon Jul 22 22:10:04 2019
3,56,6272,0.125,0.5,0,0.000446429,1120,1.73E-05,0.492231,6.62362,0.326717,7.44256,Mon Jul 22 22:10:56 2019
3,60,7200,0.125,0.5,0,0.000416667,1200,1.50E-05,0.622514,8.27549,0.170938,9.06895,Mon Jul 22 22:12:06 2019
3,64,8192,0.125,0.5,0,0.000390625,1280,1.36E-05,0.779858,8.71883,0.445034,9.94372,Mon Jul 22 22:13:31 2019
3,80,12800,0.125,0.5,0,0.0003125,1600,1.15E-05,1.65248,18.8081,0.65331,21.1139,Tue Jul 23 16:08:16 2019
3,96,18432,0.125,0.5,0,0.000260417,1920,1.12E-05,3.20201,32.4573,0.936012,36.5953,Tue Jul 23 16:09:29 2019
3,112,25088,0.125,0.5,0,0.000223214,2240,1.11E-05,5.75566,51.5037,1.25705,58.5164,Tue Jul 23 16:11:27 2019
3,128,32768,0.125,0.5,0,0.000195313,2560,1.11E-05,9.42782,65.9907,1.64496,77.0634,Tue Jul 23 16:14:01 2019
5,8,128,0.125,0.5,0,0.0014881,336,0.00277278,0.095826,0.202636,0.037837,0.336299,Mon Jul 22 22:14:38 2019
5,12,288,0.125,0.5,0,0.000992063,504,0.00028949,0.092088,0.479706,0.066763,0.638557,Mon Jul 22 22:14:42 2019
5,16,512,0.125,0.5,0,0.000744048,672,5.87E-05,0.106346,0.881387,0.078358,1.06609,Mon Jul 22 22:14:49 2019
5,20,800,0.125,0.5,0,0.000595238,840,1.94E-05,0.110613,1.65021,0.103738,1.86456,Mon Jul 22 22:15:00 2019
5,24,1152,0.125,0.5,0,0.000496032,1008,1.23E-05,0.122732,2.86707,0.15795,3.14775,Mon Jul 22 22:15:17 2019
5,28,1568,0.125,0.5,0,0.00042517,1176,1.13E-05,0.109468,3.46439,0.208339,3.7822,Mon Jul 22 22:15:46 2019
5,32,2048,0.125,0.5,0,0.000372024,1344,1.11E-05,0.165022,5.44693,0.264058,5.87601,Mon Jul 22 22:16:32 2019
5,36,2592,0.125,0.5,0,0.000330688,1512,1.11E-05,0.200703,8.09432,0.350451,8.64548,Mon Jul 22 22:17:37 2019
5,40,3200,0.125,0.5,0,0.000297619,1680,1.11E-05,0.249484,10.7689,0.384444,11.4029,Mon Jul 22 22:19:09 2019
5,44,3872,0.125,0.5,0,0.000270563,1848,1.11E-05,0.286878,12.9468,0.407087,13.6408,Mon Jul 22 22:20:57 2019
5,48,4608,0.125,0.5,0,0.000248016,2016,1.11E-05,0.35649,18.075,0.510101,18.9415,Mon Jul 22 22:23:14 2019
5,52,5408,0.125,0.5,0,0.000228938,2184,1.11E-05,0.461551,26.3232,0.673708,27.4585,Mon Jul 22 22:26:30 2019
5,56,6272,0.125,0.5,0,0.000212585,2352,1.11E-05,0.55274,32.8422,0.783028,34.178,Mon Jul 22 22:30:51 2019
5,60,7200,0.125,0.5,0,0.000198413,2520,1.11E-05,0.677151,40.3308,0.892845,41.9008,Mon Jul 22 22:36:16 2019
5,64,8192,0.125,0.5,0,0.000186012,2688,1.11E-05,0.839045,49.2798,1.01922,51.1381,Mon Jul 22 22:42:54 2019
5,80,12800,0.125,0.5,0,0.00014881,3360,1.11E-05,1.75164,102.83,1.64759,106.229,Tue Jul 23 16:17:34 2019
5,96,18432,0.125,0.5,0,0.000124008,4032,1.11E-05,3.34535,177.434,2.35985,183.139,Tue Jul 23 16:23:41 2019
5,112,25088,0.125,0.5,0,0.000106293,4704,1.11E-05,5.95662,267.627,3.21059,276.794,Tue Jul 23 16:32:56 2019
5,128,32768,0.125,0.5,0,9.30E-05,5376,1.11E-05,9.60303,420.531,4.17693,434.311,Tue Jul 23 16:47:26 2019
7,8,128,0.125,0.5,0,0.000868056,576,0.000264661,0.243541,0.506827,0.053455,0.803823,Mon Jul 22 22:48:59 2019
7,12,288,0.125,0.5,0,0.000578704,864,1.56E-05,0.104514,1.48936,0.094574,1.68844,Mon Jul 22 22:49:07 2019
7,16,512,0.125,0.5,0,0.000434028,1152,1.12E-05,0.107968,3.17034,0.153818,3.43213,Mon Jul 22 22:49:26 2019
7,20,800,0.125,0.5,0,0.000347222,1440,1.11E-05,0.117127,6.03669,0.229247,6.38307,Mon Jul 22 22:50:03 2019
