N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,4,64,0.125,0.5,0,0.0208333,24,1.92459,0.232845,0.004583,0.000949,0.238377,Thu Jul 25 03:50:39 2019
1,8,256,0.125,0.5,0,0.0104167,48,1.07255,0.052255,0.008564,0.00936,0.070179,Thu Jul 25 03:50:39 2019
1,16,1024,0.125,0.5,0,0.00520833,96,0.308598,0.070449,0.037299,0.043723,0.151471,Thu Jul 25 03:50:39 2019
1,32,4096,0.125,0.5,0,0.00260417,192,0.0832577,0.235443,0.390797,0.126785,0.753025,Thu Jul 25 03:50:40 2019
1,64,16384,0.125,0.5,0,0.00130208,384,0.0204748,2.51465,2.69712,0.415931,5.6277,Thu Jul 25 03:50:46 2019
1,128,65536,0.125,0.5,0,0.000651042,768,0.00501957,37.0468,22.3875,1.66337,61.0977,Thu Jul 25 03:51:47 2019
2,4,64,0.125,0.5,0,0.0104167,48,1.01577,0.221741,0.008514,0.001388,0.231643,Thu Jul 25 03:51:49 2019
2,8,256,0.125,0.5,0,0.00520833,96,0.196595,0.057917,0.016853,0.014008,0.088778,Thu Jul 25 03:51:49 2019
2,16,1024,0.125,0.5,0,0.00260417,192,0.0325163,0.07216,0.101766,0.038265,0.212191,Thu Jul 25 03:51:50 2019
2,32,4096,0.125,0.5,0,0.00130208,384,0.00430115,0.246634,0.919859,0.147239,1.31373,Thu Jul 25 03:51:51 2019
2,64,16384,0.125,0.5,0,0.000651042,768,0.000607882,2.53735,7.61687,0.564702,10.7189,Thu Jul 25 03:52:02 2019
2,128,65536,0.125,0.5,0,0.000325521,1536,9.19E-05,37.204,62.5529,2.22664,101.984,Thu Jul 25 03:53:45 2019
3,4,64,0.125,0.5,0,0.00625,80,0.41556,0.06336,0.014192,0.001449,0.079001,Wed Jul 24 20:20:39 2019
3,8,256,0.125,0.5,0,0.003125,160,0.0692902,0.05875,0.030163,0.015906,0.104819,Wed Jul 24 20:20:39 2019
3,16,1024,0.125,0.5,0,0.0015625,320,0.00490867,0.079202,0.187705,0.03492,0.301827,Wed Jul 24 20:20:40 2019
3,32,4096,0.125,0.5,0,0.00078125,640,0.000301792,0.256876,1.09019,0.104819,1.45188,Wed Jul 24 20:20:43 2019
3,64,16384,0.125,0.5,0,0.000390625,1280,1.92E-05,2.56511,11.7286,0.720958,15.0147,Wed Jul 24 20:21:06 2019
3,128,65536,0.125,0.5,0,0.000195313,2560,1.16E-06,37.5578,139.958,3.19029,180.706,Wed Jul 24 20:26:58 2019
4,4,64,0.125,0.5,0,0.00416667,120,0.244019,0.052763,0.020395,0.014805,0.087963,Thu Jul 25 03:53:45 2019
4,8,256,0.125,0.5,0,0.00208333,240,0.0219959,0.054344,0.091977,0.026149,0.17247,Thu Jul 25 03:53:45 2019
4,16,1024,0.125,0.5,0,0.00104167,480,0.00106907,0.077125,0.562505,0.072902,0.712532,Thu Jul 25 03:53:46 2019
4,32,4096,0.125,0.5,0,0.000520833,960,3.43E-05,0.270264,4.50575,0.268632,5.04465,Thu Jul 25 03:53:51 2019
4,64,16384,0.125,0.5,0,0.000260417,1920,1.06E-06,2.62681,35.9155,1.03594,39.5782,Thu Jul 25 03:54:31 2019
4,128,65536,0.125,0.5,0,0.000130208,3840,3.64E-08,37.7867,287.409,4.15643,329.352,Thu Jul 25 04:00:01 2019
5,4,64,0.125,0.5,0,0.00297619,168,0.130052,0.104772,0.055319,0.023392,0.183483,Wed Jul 24 20:26:59 2019
5,8,256,0.125,0.5,0,0.0014881,336,0.00854547,0.094234,0.234559,0.045324,0.374117,Wed Jul 24 20:27:00 2019
5,16,1024,0.125,0.5,0,0.000744048,672,0.000198056,0.126325,1.63362,0.145694,1.90564,Wed Jul 24 20:27:04 2019
5,32,4096,0.125,0.5,0,0.000372024,1344,3.66E-06,0.328047,12.7696,0.532451,13.6301,Wed Jul 24 20:27:31 2019
5,64,16384,0.125,0.5,0,0.000186012,2688,5.74E-08,2.76721,101.273,2.04121,106.081,Wed Jul 24 20:31:04 2019
5,128,65536,0.125,0.5,0,9.30E-05,5376,9.03E-10,38.2501,830.308,7.0021,875.56,Wed Jul 24 21:00:35 2019
7,4,64,0.125,0.5,0,0.00173611,288,0.0365466,0.055811,0.071006,0.016255,0.143072,Wed Jul 24 21:00:35 2019
7,8,256,0.125,0.5,0,0.000868056,576,0.000983444,0.065216,0.406279,0.044028,0.515523,Wed Jul 24 21:00:36 2019
7,16,1024,0.125,0.5,0,0.000434028,1152,6.51E-06,0.095525,5.89687,0.316471,6.30887,Wed Jul 24 21:00:49 2019
7,32,4096,0.125,0.5,0,0.000217014,2304,3.12E-08,0.368506,42.2786,0.58934,43.2365,Wed Jul 24 21:02:17 2019
7,64,16384,0.125,0.5,0,0.000108507,4608,1.19E-10,2.95879,363.076,2.33423,368.369,Wed Jul 24 21:14:35 2019
7,128,65536,0.125,0.5,0,5.43E-05,9216,8.79E-12,39.1367,3195.71,18.2079,3253.06,Wed Jul 24 22:51:53 2019
9,4,64,0.125,0.5,0,0.00113636,440,0.00935222,0.065286,0.369856,0.043597,0.478739,Wed Jul 24 22:51:53 2019
9,8,256,0.125,0.5,0,0.000568182,880,0.000118872,0.069679,2.4129,0.154087,2.63667,Wed Jul 24 22:51:56 2019
9,16,1024,0.125,0.5,0,0.000284091,1760,2.34E-07,0.115963,18.4687,0.569219,19.1539,Wed Jul 24 22:52:15 2019
9,32,4096,0.125,0.5,0,0.000142045,3520,2.79E-10,0.395174,146.72,2.21948,149.335,Wed Jul 24 22:54:45 2019
9,64,16384,0.125,0.5,0,7.10E-05,7040,9.63E-12,3.20923,1172.26,8.82717,1184.3,Wed Jul 24 23:14:32 2019
9,128,65536,0.125,0.5,0,3.55E-05,14080,7.59E-12,40.6619,8623.33,33.171,8697.17,Thu Jul 25 02:38:40 2019
