N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,4,64,0.125,0.5,0.1,0.00625,80,0.442008,0.056405,0.013961,0.002893,0.073259,Wed Jul 24 20:21:17 2019
3,8,256,0.125,0.5,0.1,0.003125,160,0.0894156,0.067413,0.04036,0.01993,0.127703,Wed Jul 24 20:21:17 2019
3,16,1024,0.125,0.5,0.1,0.0015625,320,0.0093571,0.124044,0.25183,0.049898,0.425772,Wed Jul 24 20:21:18 2019
3,32,4096,0.125,0.5,0.1,0.00078125,640,0.000811114,0.459627,2.02964,0.188372,2.67764,Wed Jul 24 20:21:24 2019
3,64,16384,0.125,0.5,0.1,0.000390625,1280,4.26E-05,3.38173,16.3894,0.73343,20.5046,Wed Jul 24 20:22:05 2019
5,4,64,0.125,0.5,0.1,0.00297619,168,0.154336,0.069061,0.04195,0.019993,0.131004,Wed Jul 24 20:22:05 2019
5,8,256,0.125,0.5,0.1,0.0014881,336,0.0210499,0.116544,0.243079,0.04806,0.407683,Wed Jul 24 20:22:06 2019
5,16,1024,0.125,0.5,0.1,0.000744048,672,0.00104473,0.313092,1.7223,0.148067,2.18345,Wed Jul 24 20:22:11 2019
5,32,4096,0.125,0.5,0.1,0.000372024,1344,2.59E-05,1.21899,28.2417,1.13854,30.5992,Wed Jul 24 20:23:12 2019
5,64,16384,0.125,0.5,0.1,0.000186012,2688,4.28E-07,6.46666,224.986,4.20721,235.66,Wed Jul 24 20:31:04 2019
7,4,64,0.125,0.5,0.1,0.00173611,288,0.0597314,0.111187,0.144172,0.035779,0.291138,Wed Jul 24 20:31:05 2019
7,8,256,0.125,0.5,0.1,0.000868056,576,0.00497584,0.273927,0.82553,0.084574,1.18403,Wed Jul 24 20:31:08 2019
7,16,1024,0.125,0.5,0.1,0.000434028,1152,9.58E-05,0.911166,5.80581,0.283703,7.00068,Wed Jul 24 20:31:22 2019
7,32,4096,0.125,0.5,0.1,0.000217014,2304,7.65E-07,3.5812,67.3667,2.20909,73.157,Wed Jul 24 20:33:49 2019
7,64,16384,0.125,0.5,0.1,0.000108507,4608,3.79E-09,15.9768,760.228,8.73453,784.939,Wed Jul 24 21:00:18 2019
9,4,64,0.125,0.5,0.1,0.00113636,440,0.024,0.260288,0.781295,0.103941,1.14552,Wed Jul 24 21:00:20 2019
9,8,256,0.125,0.5,0.1,0.000568182,880,0.00126609,0.710326,4.96542,0.318787,5.99454,Wed Jul 24 21:00:33 2019
9,16,1024,0.125,0.5,0.1,0.000284091,1760,1.26E-05,2.61696,39.656,1.23185,43.5048,Wed Jul 24 21:02:00 2019
9,32,4096,0.125,0.5,0.1,0.000142045,3520,2.94E-08,10.2905,319.922,4.79479,335.008,Wed Jul 24 21:13:12 2019
