N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error, Linf_errSetup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,8,256,0.125,0.5,0,0.0104167,48,1.08598,0.409383,0.360931,0.011741,0.000591,0.373263,Mon Jan  5 11:54:43 1970
1,16,1024,0.125,0.5,0,0.00520833,96,0.319712,0.155903,0.096947,0.022352,0.002027,0.121326,Fri Jan  2 16:54:44 1970
1,32,4096,0.125,0.5,0,0.00260417,192,0.087178,0.0616902,0.244949,0.066115,0.008017,0.319081,Mon Jan  5 00:31:12 1970
1,64,16384,0.125,0.5,0,0.00130208,384,0.0215786,0.0168386,2.49592,0.49128,0.031445,3.01865,Thu Feb  5 14:41:55 1970
1,128,65536,0.125,0.5,0,0.000651042,768,0.00530789,0.00412398,36.7604,3.59558,0.13949,40.4955,Fri Apr 16 19:20:24 1971
2,8,256,0.125,0.5,0,0.00520833,96,0.223396,0.21958,0.324097,0.023931,0.00073,0.348758,Mon Jan  5 04:25:25 1970
2,16,1024,0.125,0.5,0,0.00260417,192,0.0377628,0.0661973,0.072759,0.047834,0.003314,0.123907,Fri Jan  2 16:41:53 1970
2,32,4096,0.125,0.5,0,0.00130208,384,0.00501023,0.0125169,0.248932,0.23888,0.011297,0.499109,Wed Jan  7 04:34:09 1970
2,64,16384,0.125,0.5,0,0.000651042,768,0.00069134,0.00203286,2.52316,1.54481,0.050052,4.11802,Wed Feb 18 16:25:04 1970
2,128,65536,0.125,0.5,0,0.000325521,1536,0.000100805,0.000293452,36.9813,25.2062,0.220642,62.4082,Fri Dec 31 05:40:37 1971
3,8,256,0.125,0.5,0,0.003125,160,0.075241,0.13302,0.379073,0.06333,0.001414,0.443817,Tue Jan  6 11:51:10 1970
3,16,1024,0.125,0.5,0,0.0015625,320,0.00599895,0.0252495,0.111391,0.22269,0.005111,0.339192,Mon Jan  5 09:14:47 1970
3,32,4096,0.125,0.5,0,0.00078125,640,0.000402281,0.00226331,0.304265,1.36768,0.019789,1.69174,Wed Jan 21 14:22:21 1970
3,64,16384,0.125,0.5,0,0.000390625,1280,2.58859e-05,0.000185874,2.64737,9.41586,0.078488,12.1417,Sun May 24 18:13:37 1970
3,128,65536,0.125,0.5,0,0.000195313,2560,1.59405e-06,1.18403e-05,37.6168,44.2964,0.347387,82.2606,Wed Aug 16 05:01:56 1972
4,8,256,0.125,0.5,0,0.00208333,240,0.0281044,0.127953,0.335784,0.06045,0.002109,0.398343,Mon Jan  5 20:55:22 1970
4,16,1024,0.125,0.5,0,0.00104167,480,0.0014231,0.00918791,0.084833,0.226687,0.008227,0.319747,Mon Jan  5 00:00:43 1970
4,32,4096,0.125,0.5,0,0.000520833,960,4.67328e-05,0.000418213,0.282211,1.3838,0.029252,1.69526,Wed Jan 21 09:33:14 1970
4,64,16384,0.125,0.5,0,0.000260417,1920,1.47754e-06,1.5325e-05,2.65495,15.1152,0.119355,17.8895,Fri Jul 31 20:22:53 1970
4,128,65536,0.125,0.5,0,0.000130208,3840,4.8634e-08,5.21221e-07,37.5819,167.807,0.564535,205.953,Thu Jul 29 19:04:59 1976
5,8,256,0.125,0.5,0,0.0014881,336,0.0101597,0.0341606,0.105715,0.222875,0.004114,0.332704,Mon Jan  5 07:08:18 1970
5,16,1024,0.125,0.5,0,0.000744048,672,0.000246641,0.00128528,0.128826,1.1311,0.012279,1.27221,Fri Jan 16 14:22:20 1970
5,32,4096,0.125,0.5,0,0.000372024,1344,4.812e-06,2.49073e-05,0.349463,7.30513,0.04392,7.69852,Thu Apr  2 12:55:55 1970
5,64,16384,0.125,0.5,0,0.000186012,2688,7.67346e-08,4.80799e-07,2.87581,56.9453,0.171301,59.9924,Sun Dec  5 04:40:25 1971
5,128,65536,0.125,0.5,0,9.3006e-05,5376,1.21688e-09,9.29571e-09,37.7616,399.327,0.803815,437.893,Wed Dec 21 07:41:07 1983
