N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error, Linf_err,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
1,8,256,0.125,0.5,0.1,0.0104167,48,0.936983,0.537499,0.070853,0.007604,0.000787,0.079244,Fri Jan  2 09:58:45 1970
1,16,1024,0.125,0.5,0.1,0.00520833,96,0.42772,0.286116,0.075278,0.016842,0.002309,0.094429,Fri Jan  2 22:07:44 1970
1,32,4096,0.125,0.5,0.1,0.00260417,192,0.15593,0.161094,0.257032,0.279532,0.011288,0.547852,Fri Jan  9 04:51:23 1970
1,64,16384,0.125,0.5,0.1,0.00130208,384,0.0485337,0.0645624,2.54585,1.95312,0.038168,4.53714,Fri Feb 27 18:59:18 1970
1,128,65536,0.125,0.5,0.1,0.000651042,768,0.0149465,0.0207282,36.7493,16.9909,0.189277,53.9295,Wed Oct  6 19:16:11 1971
2,8,256,0.125,0.5,0.1,0.00520833,96,0.449221,0.283614,0.226423,0.013105,0.00088,0.240408,Sun Jan  4 07:20:40 1970
2,16,1024,0.125,0.5,0.1,0.00260417,192,0.114628,0.139689,0.084386,0.108683,0.003575,0.196644,Sun Jan  4 05:46:48 1970
2,32,4096,0.125,0.5,0.1,0.00130208,384,0.020744,0.0353276,0.303844,0.833671,0.013867,1.15138,Fri Jan 16 08:48:06 1970
2,64,16384,0.125,0.5,0.1,0.000651042,768,0.00358968,0.00749698,2.75081,5.84398,0.073437,8.66823,Sat Apr 18 09:11:35 1970
2,128,65536,0.125,0.5,0.1,0.000325521,1536,0.000609605,0.00127389,37.5612,48.5276,0.288359,86.3772,Mon Oct 23 16:00:47 1972
3,8,256,0.125,0.5,0.1,0.003125,160,0.479741,0.28779,0.068592,0.030257,0.001768,0.100617,Fri Jan  2 17:50:17 1970
3,16,1024,0.125,0.5,0.1,0.0015625,320,0.0767731,0.0769942,0.11095,0.245993,0.00646,0.363403,Tue Jan  6 06:56:36 1970
3,32,4096,0.125,0.5,0.1,0.00078125,640,0.00817482,0.010379,0.404567,1.99562,0.023587,2.42377,Sun Feb  1 03:37:06 1970
3,64,16384,0.125,0.5,0.1,0.000390625,1280,0.000611815,0.000927533,3.16018,16.3491,0.099928,19.6092,Thu Aug 27 00:12:53 1970
3,128,65536,0.125,0.5,0.1,0.000195313,2560,5.08E-05,7.11E-05,39.0829,131.839,0.481747,171.404,Sun Jul 20 19:56:26 1975
4,8,256,0.125,0.5,0.1,0.00208333,240,0.250669,0.16987,0.241167,0.098817,0.002046,0.34203,Mon Jan  5 17:45:36 1970
4,16,1024,0.125,0.5,0.1,0.00104167,480,0.0235131,0.0227563,0.138798,0.552888,0.008479,0.700165,Sat Jan 10 08:57:25 1970
4,32,4096,0.125,0.5,0.1,0.000520833,960,0.00121288,0.00221811,0.50067,3.75362,0.033409,4.2877,Mon Feb 23 07:43:36 1970
4,64,16384,0.125,0.5,0.1,0.000260417,1920,5.39E-05,8.93E-05,3.60228,29.4804,0.147658,33.2304,Tue Feb  2 18:45:48 1971
4,128,65536,0.125,0.5,0.1,0.000130208,3840,2.19E-06,4.00E-06,40.9573,240.978,0.716561,282.652,Tue Feb  6 10:29:17 1979
5,8,256,0.125,0.5,0.1,0.0014881,336,0.148741,0.119337,0.282031,0.261014,0.004016,0.547061,Thu Jan  8 08:58:51 1970
5,16,1024,0.125,0.5,0.1,0.000744048,672,0.00734186,0.0103969,0.242772,1.67113,0.013003,1.9269,Sun Jan 25 18:24:06 1970
5,32,4096,0.125,0.5,0.1,0.000372024,1344,0.000226157,0.000377267,0.956334,13.1283,0.049003,14.1336,Mon Jun 22 00:45:24 1970
5,64,16384,0.125,0.5,0.1,0.000186012,2688,4.38E-06,1.24E-05,5.38744,105.811,0.211324,111.409,Tue Aug 14 21:29:11 1973
5,128,65536,0.125,0.5,0.1,9.30E-05,5376,7.88E-08,1.76E-07,48.0203,852.523,1.06963,901.613,Thu Dec  3 15:24:55 1998
